Datetime,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
08:12.2,0.0001456,5.40216579,0.020778145,-5.733607306,0.004375288,1.459020206
37:05.8,0.000155,5.423048655,0.020839231,-4.822503548,0.004375283,1.458658922
15:38.5,0.0001751,5.465046512,0.020868902,-5.464948774,0.004375275,1.457705973
10:21.9,0.0001674,5.430483757,0.020905554,-5.435489361,0.00437513,1.457278367
21:40.1,0.0001812,5.462027093,0.02098933,-5.644537918,0.00437525,1.456815855
07:56.6,0.0002013,5.442880831,0.021031217,-5.404804728,0.004375245,1.456241641
56:37.4,0.0002138,5.457335648,0.021069615,-5.45093378,0.004375238,1.455906538
56:37.2,0.0002427,5.496345502,0.021190042,-5.436362026,0.004375221,1.454897738
41:08.6,0.0002417,5.524928759,0.021237166,-4.727229515,0.004375212,1.454553908
05:34.1,0.0001985,5.560702773,0.021277309,-4.900811236,0.004375209,1.454286873
25:18.3,0.000185,5.573314522,0.021320942,-4.284240516,0.004375199,1.454004129
26:31.7,0.0001863,5.574215112,0.021359339,-4.787165867,0.004375191,1.453782472
07:56.5,0.0001969,5.566530427,0.021392501,-5.630709674,0.004375183,1.453531145
57:42.1,0.000188,5.571972364,0.021437879,-4.875512688,0.004375173,1.453119247
20:57.3,0.0001696,5.522558602,0.02147104,-5.493929966,0.004375167,1.452597394
56:48.5,0.0001875,5.503637487,0.021511183,-5.037672974,0.004375157,1.452028417
31:09.3,0.000183,5.498925098,0.021554816,-4.864888869,0.004375146,1.451614773
10:35.4,0.0001915,5.502251696,0.021589723,-5.465639924,0.004375138,1.451370427
04:29.8,0.0001912,5.499712242,0.021607176,-2.864422151,0.004375134,1.451263962
37:34.9,0.0001994,5.494036431,0.021647319,-2.69637836,0.004375124,1.450996927
07:46.0,0.0002132,5.492805974,0.021711896,-5.415761905,0.004375109,1.450579793
11:25.3,0.0001784,5.456599119,0.02176251,-4.295843465,0.004375092,1.450195821
48:17.3,0.0001725,5.389960703,0.021802653,-4.574607453,0.004375054,1.448930457
14:39.4,0.0001801,5.420196787,0.021835814,-5.259582862,0.004375044,1.448696583
24:48.5,0.0001822,5.419147844,0.021882938,-4.671584928,0.004375032,1.448410349
11:12.7,0.0001808,5.412711069,0.021937043,-2.60695118,0.004375019,1.448063028
01:44.0,0.0001878,5.432035355,0.022005111,-5.258019047,0.004375004,1.447532448
20:34.4,0.0001903,5.438866574,0.02205049,-4.902425665,0.004374995,1.447230506
00:59.8,0.0001907,5.441765565,0.022092378,-4.973549578,0.004374986,1.446965216
15:58.0,0.0002015,5.478747347,0.022141247,-4.665039943,0.004374977,1.446626622
00:15.8,0.0002014,5.477654771,0.022179644,-4.977761057,0.004374969,1.446359587
32:31.6,0.0002033,5.484449338,0.022266911,-4.283659322,0.00437495,1.445890094
10:03.9,0.0002033,5.485149215,0.022310544,-3.577736471,0.004374939,1.445616077
30:22.0,0.0002006,5.770948625,0.02237163,-2.703993232,0.00437495,1.44224061
27:48.7,0.000192,5.686958145,0.022441444,-4.434530818,0.004374937,1.442230138
48:01.4,0.0001897,5.67492061,0.022478095,-4.579290172,0.004374927,1.442020699
37:44.7,0.0001541,5.364695316,0.022497294,-5.349320711,0.00437476,1.444205851
09:30.6,0.00019,5.664616186,0.022551399,-5.227748057,0.00437491,1.441367945
12:04.3,0.0001911,5.665556918,0.022596778,-4.412681041,0.0043749,1.441139307
26:02.1,0.0001894,5.634488312,0.02263343,-4.565688821,0.004374891,1.440826893
26:24.9,0.0001846,5.577937899,0.022671827,-4.752597876,0.004374882,1.44046212
17:48.9,0.00019,5.615436298,0.022703243,-5.860435146,0.004374874,1.44011829
52:42.0,0.0001892,5.624951833,0.022762584,-3.074819847,0.004374859,1.439650541
00:39.2,0.0001977,5.551899332,0.022802727,-3.212266271,0.004374844,1.439313693
30:57.7,0.000205,5.556360393,0.022844615,-3.066927468,0.004374832,1.439001279
36:07.3,0.0002038,5.531847244,0.022883012,-3.527628068,0.004374819,1.438653958
58:47.6,0.0002003,5.497190241,0.0229249,-3.376636144,0.004374809,1.438409612
28:47.9,0.0001967,5.497434587,0.022965042,-3.228326791,0.004374799,1.438004696
58:44.8,0.0001975,5.42909622,0.02300344,-4.324571585,0.004374788,1.437938373
04:18.0,0.0002066,5.486838693,0.023043582,-4.865731863,0.004374776,1.437421756
41:42.6,0.0002226,5.639808076,0.023061035,-5.625815771,0.00437465,1.437545674
13:44.2,0.0002288,5.565917816,0.023141321,-2.506455121,0.00437475,1.436412956
15:29.8,0.000225,5.544858674,0.023174482,-4.035679451,0.004374742,1.436193044
39:57.1,0.0002242,5.54576799,0.023211134,-4.700052993,0.004374734,1.435938226
30:35.4,0.0002496,5.623330422,0.023253022,-5.063786591,0.004374724,1.435365758
14:06.4,0.0001727,5.968430885,0.02335076,-4.409982762,0.004375434,1.432430114
52:36.9,0.0001726,5.97635817,0.023390903,-4.493950553,0.004375425,1.432225911
26:26.4,0.0001639,5.990376655,0.02340312,-2.521923975,0.004375425,1.431985055
26:53.1,0.0001512,6.038783361,0.023465952,-5.157756863,0.004375409,1.431524288
28:17.8,0.0001594,6.027616745,0.023513076,-3.809596481,0.004375404,1.431175223
45:13.6,0.0001587,6.049552043,0.023551473,-3.739399338,0.004375395,1.430871535
13:40.9,0.0001313,6.092672147,0.02358987,-3.377278425,0.004375384,1.430452656
26:53.4,0.0001312,6.087720648,0.023619541,-5.134407848,0.004375378,1.430290341
24:27.7,0.0001271,6.016277341,0.023666665,-3.480299975,0.00437537,1.429958728
41:41.1,0.0001264,6.007742681,0.023701571,-4.166067763,0.004375361,1.429712637
10:45.8,0.0001267,5.995582972,0.023734732,-5.05885429,0.004375353,1.429435129
29:45.0,0.0001243,5.975558809,0.023780111,-3.887644114,0.004375342,1.429133187
36:50.2,0.0001235,5.946998241,0.023815018,-4.072575711,0.004375331,1.428736998
56:05.9,0.0001268,5.944650773,0.02385167,-4.493053453,0.004375321,1.428386186
12:50.2,0.0001267,5.922197113,0.023891812,-4.379552947,0.004375311,1.428206418
27:14.7,0.0001248,5.934712869,0.023942427,-2.998295886,0.004375299,1.427750887
44:31.4,0.0001246,5.918294556,0.023977333,-3.676178277,0.004375289,1.427621732
49:54.9,0.000195,6.030791499,0.024045401,-2.434406185,0.004375232,1.426838079
17:31.2,0.0001944,6.024000423,0.024069836,-4.914471928,0.004375226,1.426689726
15:45.5,0.0002001,6.032500176,0.024122196,-3.337582657,0.004375213,1.426244667
03:01.8,0.0001985,6.00562036,0.024162338,-3.34844035,0.004375204,1.425764702
16:54.8,0.0001985,6.007081201,0.024195499,-4.846643197,0.004375197,1.425550026
20:47.3,0.0002036,6.028416106,0.024253095,-2.732843524,0.004375184,1.425019446
32:16.4,0.0002013,6.008212174,0.024298474,-2.382028854,0.004375175,1.424630238
29:43.8,0.0002008,6.006817656,0.024300219,-2.129193477,0.004375175,1.42458835
21:54.4,0.0002073,6.027164705,0.024378759,-3.198523548,0.004375162,1.424096167
44:37.9,0.0002112,6.052892603,0.024418902,-3.369679262,0.004375156,1.423855312
01:34.2,0.0002116,6.050361876,0.024450317,-4.850594623,0.004375149,1.423666816
39:14.7,0.0002164,6.094651351,0.024500932,-3.399646565,0.004375143,1.423319496
46:05.4,0.0002114,6.102974826,0.02454282,-3.36028939,0.004375136,1.423005336
42:11.3,0.0002087,6.105620745,0.024588199,-2.574756836,0.004375126,1.42270514
44:25.2,0.0002092,6.112088935,0.02462136,-3.603974006,0.004375119,1.422493955
14:37.7,0.0002098,6.11134717,0.024654521,-4.50361095,0.004375111,1.422294987
09:13.9,0.0002175,6.108722195,0.024692918,-4.244700082,0.004375099,1.42220074
03:18.4,0.0001995,6.237126068,0.024747023,-3.067391726,0.004375111,1.420703247
40:46.8,0.000199,6.242140399,0.024774949,-4.991142497,0.004375104,1.420551403
03:31.1,0.0001984,6.246023757,0.024815091,-4.877998037,0.004375094,1.420319275
27:29.5,0.0001963,6.242555788,0.024863961,-3.17693208,0.004375081,1.420027805
18:10.0,0.0001841,6.206837624,0.024904103,-3.164379672,0.00437507,1.419682229
48:54.5,0.0001815,6.197976588,0.02493901,-4.053614454,0.004375061,1.419465809
12:06.7,0.0001814,6.168765012,0.024986134,-2.855285352,0.004375048,1.419169103
05:40.0,0.0001821,6.134395988,0.025028021,-2.569044374,0.004375037,1.418839235
53:27.5,0.0001829,6.123869908,0.025059437,-3.907069629,0.004375028,1.418591399
32:31.6,0.0001803,6.119133084,0.025094344,-4.764054217,0.004375019,1.418366251
04:47.3,0.0001785,6.072934219,0.025144959,-3.24663704,0.004375005,1.418032893
40:27.6,0.0001717,6.078206859,0.02518161,-3.603485313,0.004374994,1.41780251
04:42.7,0.0001858,6.04577515,0.025216517,-3.185901327,0.004374983,1.41841163
18:55.2,0.0001846,6.040197078,0.02525666,-3.363127296,0.004374975,1.418017185
20:48.6,0.0002142,6.211588411,0.025378833,-4.261429063,0.004374942,1.416778002
26:03.5,0.0002072,6.234721005,0.025424211,-3.981691181,0.004374931,1.4164237
55:56.5,0.0002403,0.009964085,0.025490534,-3.366612718,0.004374889,1.415360794
46:51.7,0.0002419,0.012491321,0.025537658,-2.603952704,0.004374881,1.415006492
35:28.1,0.0002424,6.271575377,0.025584782,-2.349822293,0.004374875,1.414678371
29:48.8,0.0002451,6.28115898,0.025617943,-3.41697943,0.004374869,1.414484639
10:29.1,0.0002374,6.248273486,0.025665067,-2.401267618,0.004374861,1.414158262
18:42.2,0.0002377,0.058814105,0.025705209,-2.704207907,0.004374857,1.413835377
10:10.4,0.0002399,0.056979764,0.025740116,-3.510029913,0.00437485,1.41361721
49:25.4,0.0002314,0.051595423,0.02578724,-2.528100695,0.004374841,1.41329956
28:09.3,0.0002272,0.089711669,0.025825637,-2.904477457,0.004374835,1.41297842
16:31.5,0.0002213,0.042812927,0.025832618,-1.595861,0.004374833,1.412933041
09:59.1,0.0002184,0.060459951,0.025904177,-2.920293631,0.004374818,1.412444349
38:58.9,0.0002133,0.053551937,0.025946065,-2.769299962,0.004374809,1.412151134
07:20.4,0.0002139,0.057288687,0.025980971,-3.419365295,0.004374801,1.411934713
52:23.0,0.0001915,6.221585657,0.02597399,-6.237665375,0.004374678,1.412959221
51:53.6,9.68E-05,5.913850948,0.02607871,-3.794441787,0.004375237,1.410788032
34:25.1,0.0001102,5.999783979,0.026132815,-2.101322314,0.004375213,1.410416276
41:48.6,0.0001158,6.143504862,0.02616074,-4.29531114,0.004375209,1.410264433
24:39.1,0.000118,6.100765239,0.026202628,-4.047392355,0.004375199,1.410004379
23:31.8,0.0001343,5.96734529,0.026253243,-2.326082325,0.004375176,1.409767014
49:45.2,0.0001396,6.025946465,0.026300366,-1.464704743,0.004375159,1.409459836
19:12.5,0.0001516,6.142195865,0.026340509,-1.697044718,0.004375146,1.409245161
16:21.9,0.000156,6.146033844,0.026377161,-2.220755195,0.004375138,1.40900605
13:15.5,0.0001616,6.176564889,0.026419049,-1.984713376,0.004375128,1.408719816
16:51.9,0.0001632,6.172224255,0.026455701,-1.684408534,0.004375118,1.408410893
28:17.9,0.0001636,6.181275532,0.026490607,-2.675874232,0.00437511,1.408093243
36:38.4,0.0001639,6.184678924,0.02653075,-2.625175908,0.004375101,1.407815736
39:38.2,0.0001644,6.27739605,0.026541222,-1.392076357,0.004375098,1.407684836
48:40.0,0.0001669,6.270144207,0.026604054,-3.93551326,0.004375084,1.407297373
55:51.7,0.0001713,6.256036711,0.026649432,-3.609703922,0.004375075,1.406904674
08:55.0,0.0001724,6.270660824,0.02669132,-3.287071083,0.004375067,1.406583533
47:42.3,0.0001735,6.242276535,0.026727972,-4.121478092,0.004375061,1.406313007
21:51.8,0.0001739,6.259935776,0.026776841,-2.922002308,0.004375052,1.405990122
08:47.9,0.0001752,6.21235461,0.026823965,-1.863931356,0.004375043,1.405696906
52:21.7,0.0001713,6.246184327,0.026858872,-2.739678233,0.004375038,1.405429871
39:16.3,0.0001784,6.23165097,0.026899014,-2.502463553,0.004375028,1.405202978
39:40.2,0.0001848,6.269474001,0.026939157,-2.521009422,0.004375023,1.40492198
57:32.6,0.0001853,6.224470686,0.026968828,-3.95549728,0.004375016,1.404743956
40:38.8,0.0001742,0.022005111,0.027012461,-2.779979631,0.004375004,1.404333804
22:33.3,0.0001739,0.005136504,0.02706133,-1.249755228,0.004374993,1.404122619
29:57.4,0.0001687,6.275104433,0.027125907,-3.269600337,0.004374978,1.403768317
02:43.5,0.0001662,6.281612766,0.027171286,-2.327722934,0.004374968,1.403454158
34:13.5,0.0001659,6.272430588,0.027214919,-1.638316134,0.004374957,1.403194104
50:46.7,0.0001651,6.266065373,0.027242844,-3.642350305,0.004374951,1.403028298
04:03.0,0.0001655,6.266007777,0.027330111,-2.236971049,0.004374929,1.402490736
13:42.5,0.0001663,6.281396345,0.027375489,-1.405250102,0.004374917,1.402171341
31:36.1,0.0001648,6.267171911,0.02740516,-3.133068466,0.00437491,1.401965392
49:19.1,0.0001451,0.184127,0.027440066,-3.237645104,0.004374854,1.400661631
02:45.5,0.0001555,0.144818695,0.027481954,-2.859737687,0.004374846,1.400345727
57:30.1,0.0001667,0.109170345,0.027529078,-2.042312732,0.004374835,1.400036803
54:32.2,0.0001714,0.193289979,0.027574457,-1.597108911,0.004374826,1.399668539
44:57.8,0.0001689,0.212417042,0.027658233,-1.361250351,0.004374808,1.399125742
50:10.4,0.0001723,0.198326999,0.027700121,-1.832105277,0.004374805,1.398808092
56:30.1,0.0001714,0.210230144,0.027735027,-2.586712342,0.004374797,1.398579454
46:26.3,0.0001807,0.172459474,0.027780406,-1.788238172,0.00437479,1.398282748
56:18.4,0.0001812,0.155770636,0.027785642,-0.940826715,0.004374789,1.398246096
58:26.0,0.0001911,0.104894288,0.027824039,-0.863484194,0.004374781,1.398000004
29:13.6,0.0002082,0.173309449,0.027933995,-2.320975491,0.00437476,1.397329798
30:14.4,0.0002051,0.223693614,0.027963665,-3.662283711,0.00437476,1.397123849
35:37.2,2.74E-05,5.295327205,0.027991591,-5.29967133,0.004374601,1.398757477
24:17.6,0.0001735,0.401956308,0.028042205,-3.83172551,0.004374768,1.396073161
17:08.1,0.0001732,0.405537724,0.028085838,-3.062068472,0.004374758,1.395854995
43:27.4,0.0001647,0.471343618,0.028125981,-2.470620021,0.004374747,1.395540835
12:28.6,0.0001605,0.502583266,0.028162633,-2.095320127,0.004374736,1.395245875
47:09.9,0.0001533,0.551461212,0.028202775,-1.450307522,0.004374724,1.394856666
11:45.3,0.000201,0.140469334,0.028216738,-0.145092711,0.004374586,1.395521637
23:11.9,0.0001518,0.493224811,0.028274334,-2.512970436,0.004374704,1.394402881
17:45.3,0.0001537,0.483367191,0.028314476,-2.509968469,0.004374694,1.394175988
04:52.1,0.0001192,0.637895152,0.02833542,-3.228791048,0.004374655,1.393615737
15:41.5,0.0001162,0.60623837,0.028373818,-3.657953549,0.004374643,1.393437714
14:56.1,0.0001141,0.539830338,0.028417451,-3.052989269,0.004374627,1.393174169
06:47.9,0.0001152,0.558791595,0.028429668,-1.270051662,0.004374623,1.393107846
52:57.3,0.0001171,0.559248871,0.028497736,-3.134860919,0.004374608,1.392687222
13:33.0,0.0001809,5.96689674,0.028558823,-0.312468041,0.004375321,1.391676676
31:46.1,0.0001754,5.995080317,0.028630381,-2.062844786,0.00437532,1.391126898
35:40.2,0.0001742,5.995335135,0.02867576,-1.503042645,0.004375312,1.3908459
59:53.2,0.0001619,6.028245063,0.028721138,-1.412149388,0.004375303,1.390596318
54:14.3,0.0001578,6.048702068,0.028764771,-1.176971508,0.004375293,1.390367679
17:21.0,0.0001582,6.067158924,0.028776989,-6.064757351,0.004375183,1.390294376
45:11.6,0.0001521,6.099683135,0.028841566,-1.756844934,0.004375282,1.389828373
54:30.8,0.0001555,6.083018731,0.028885199,-1.156401057,0.004375276,1.38949676
32:09.7,0.0001591,6.088767846,0.028921851,-1.504643112,0.004375269,1.389245433
52:53.3,0.0001631,6.104821384,0.028951522,-2.987403286,0.004375263,1.389027267
49:47.9,0.0001497,6.121751078,0.028995155,-2.474894333,0.004375259,1.388723579
23:30.8,0.0001441,6.131737852,0.029038788,-1.531924354,0.004375251,1.388439091
18:05.2,0.0001375,6.120157592,0.029077185,-1.526304394,0.004375244,1.388191254
58:37.4,0.0001238,6.12075624,0.029108601,-2.644194761,0.004375253,1.387798555
56:00.5,0.0001216,6.117675734,0.029150489,-1.322099126,0.004375243,1.387521047
14:54.2,0.000119,6.117482003,0.029188886,-1.221447733,0.004375233,1.387250521
58:54.7,0.0001025,6.166611276,0.029211576,-3.685662396,0.004375226,1.387070752
53:22.6,0.000101,6.142695029,0.029298842,-2.337858061,0.004375204,1.386540172
25:47.8,0.000107,6.170897804,0.029333749,-2.731476931,0.004375197,1.386253938
22:27.2,8.07E-05,6.157261547,0.029359929,-2.451948489,0.004375157,1.385459814
08:30.6,6.86E-05,0.241009026,0.029401817,-2.337182619,0.004375133,1.385082822
56:00.6,8.43E-05,5.628615279,0.029459412,-0.16613091,0.004375105,1.384936215
43:01.4,7.14E-05,5.538191516,0.029485592,-2.215212029,0.004375097,1.384738993
48:44.9,0.0001019,5.714258586,0.029529226,-2.086160639,0.004375075,1.38448941
07:12.3,0.0001126,5.776055458,0.02957635,-0.99956228,0.004375054,1.384164779
39:12.9,0.0001139,5.801896803,0.029618237,-1.655374982,0.004375044,1.383869819
53:59.9,0.0001328,5.896278973,0.029661871,-1.667429971,0.004375038,1.383494573
53:43.7,0.000146,6.010589313,0.029705504,-1.240189079,0.004375032,1.383047768
49:11.7,0.0001552,6.044230534,0.029738665,-2.326221951,0.004375027,1.382782478
55:02.8,0.0001502,6.107896654,0.029784044,-1.821507638,0.004375025,1.38225888
27:35.1,0.000144,6.131320718,0.029832913,-1.684839631,0.004375025,1.381775423
06:26.1,0.0001143,6.000483856,0.02987131,-2.416685857,0.004375018,1.381522351
51:04.0,0.0001049,5.968663013,0.029930651,-0.859403614,0.004375013,1.381127906
31:39.9,9.86E-05,6.041699807,0.029970794,-0.999834551,0.004375016,1.380860871
47:39.3,9.01E-05,6.047422741,0.03000221,-2.493269159,0.004375015,1.38064445
17:52.3,0.0001062,6.221058567,0.030044098,-1.992082156,0.004375007,1.380281422
58:36.3,0.0001028,6.204608839,0.030087731,-0.992371523,0.004375002,1.379974244
20:04.1,9.56E-05,6.21897988,0.030119147,-2.470520538,0.004374997,1.37974037
49:10.2,9.66E-05,6.23612774,0.030155799,-2.342929988,0.004374989,1.379497769
56:16.6,7.53E-05,6.120271039,0.030192451,-2.178581059,0.004374985,1.37923946
41:33.4,7.36E-05,6.108983995,0.030230848,-1.951845336,0.004374974,1.379035257
21:30.1,8.17E-05,6.15950604,0.030269245,-1.022527322,0.004374962,1.378633831
52:31.2,6.99E-05,6.169178655,0.03029717,-1.141448821,0.004374952,1.378166083
12:12.3,6.66E-05,6.145555624,0.030368729,-1.784635812,0.004374927,1.377707061
03:31.6,5.75E-05,6.038929969,0.030403636,-2.223757161,0.004374913,1.377476678
06:20.2,4.86E-05,6.095379153,0.030459486,-5.908457881,0.004374891,1.376911191
19:22.2,6.09E-05,6.066239136,0.030586895,-1.587680642,0.00437483,1.376199097
00:58.5,8.45E-05,5.265321505,0.03063751,-0.062297782,0.004374826,1.375654554
32:20.6,8.65E-05,5.594071723,0.030705578,-2.319462291,0.004374798,1.375099539
59:37.9,9.00E-05,5.863042668,0.030759683,-1.139377116,0.004374757,1.374685896
27:11.1,0.0001514,6.098203096,0.030894073,-0.677861447,0.00437475,1.374158807
25:30.3,0.0001598,6.112088935,0.030934216,-0.682003113,0.004374743,1.373895262
42:04.5,0.0001113,6.093045648,0.031000538,-5.80572082,0.004374745,1.37271891
57:42.1,0.0001194,0.300404326,0.031066861,-2.010566938,0.004374739,1.37229654
18:53.8,8.66E-05,6.27092786,0.031107003,-1.588214713,0.004374738,1.372085355
26:55.9,8.23E-05,6.16347841,0.031147146,-0.903567426,0.004374738,1.371847991
28:59.8,7.12E-05,6.142599036,0.031182052,-1.381684666,0.004374727,1.371649023
19:53.2,5.93E-05,6.126391908,0.031222195,-1.650913921,0.004374726,1.371509397
56:41.4,5.78E-05,6.121908158,0.031237903,-5.14353592,0.004374721,1.37141864
26:46.4,5.00E-05,5.804944148,0.031298989,-1.002757978,0.004374715,1.370968345
19:03.3,5.22E-05,5.538163591,0.031340877,-5.723170237,0.004374705,1.370434274
30:21.2,5.23E-05,5.378403132,0.031346113,-4.464035609,0.004374702,1.370462199
43:38.9,4.19E-05,5.723676382,0.031410691,-0.271629082,0.004374687,1.370141059
58:44.7,4.16E-05,5.73901259,0.031421163,-4.929050663,0.004374683,1.370060774
26:25.4,5.73E-05,4.794096569,0.031492721,-4.353324139,0.004375452,1.369800719
01:31.4,0.0001252,4.489606428,0.031529373,-3.87704822,0.004375416,1.369287593
37:52.5,0.0001303,4.514693791,0.031642819,-5.001850091,0.00437538,1.3685563
24:35.5,0.0001417,4.504722725,0.031681217,-5.294643036,0.004375366,1.368322426
11:17.6,0.0001475,4.451275507,0.031730086,-4.231325624,0.004375346,1.368050154
29:25.7,0.0001484,4.473205569,0.031766738,-4.943723646,0.004375329,1.367884348
47:20.6,0.0001582,4.552373704,0.03180339,-5.714420901,0.004375307,1.367767411
43:43.8,0.000162,4.634257571,0.031845278,-5.794360472,0.004375286,1.367559717
38:59.6,0.0001607,4.780594702,0.031894147,-5.418526506,0.00437527,1.367290936
52:10.5,0.0001641,4.820962422,0.031939525,-5.120792535,0.004375256,1.366940125
07:26.9,0.0001659,4.862068417,0.031953488,-4.044725492,0.004375255,1.366727195
49:15.9,0.0001633,4.899315489,0.032032028,-4.650672393,0.004375251,1.365915617
30:06.6,0.0001655,4.9322132,0.032080897,-4.487002397,0.004375243,1.365594476
24:46.7,0.0001259,4.996828779,0.032129766,-4.819670879,0.004375245,1.365419943
45:24.4,0.0001193,4.933059684,0.032168163,-5.435510305,0.004375237,1.365227957
02:20.6,0.0001218,4.828008317,0.032269393,-4.433176443,0.00437524,1.364728793
56:31.2,0.0001244,4.77348074,0.032272883,-3.61653514,0.004375237,1.364707849
59:38.7,0.0001232,4.608152681,0.032372367,-6.272114684,0.004375232,1.364044624
54:44.9,0.0001508,4.47042875,0.032477087,-2.970072167,0.004375204,1.36354895
42:52.4,0.0001784,4.307388818,0.032604496,-3.332351905,0.004375211,1.364294206
15:40.8,0.0001666,4.403074749,0.032611477,-5.628349989,0.004375187,1.362801949
42:14.2,0.0001734,4.474743204,0.032726669,-4.48068256,0.004374976,1.361896123
44:48.7,0.0008884,4.599340514,0.032761575,-6.151744561,0.004375199,1.361637815
02:47.5,0.0001389,4.602387859,0.032796482,-5.533512288,0.004375115,1.361547057
05:16.2,0.0002588,4.983365309,0.032854078,-5.08212651,0.004374988,1.361972918
56:53.6,0.0002542,4.912613152,0.032909928,-4.505157312,0.004374989,1.36129573
56:19.3,0.0003588,4.738804539,0.032977996,-4.824145903,0.004375002,1.360749442
41:36.8,0.0001877,4.775273193,0.033086207,-6.202186322,0.00437499,1.360040838
59:10.9,0.0001851,4.714542717,0.033143802,-6.047117309,0.004374971,1.359686536
38:58.7,0.0001858,4.855389042,0.033173473,-3.12598941,0.004374984,1.359539929
28:28.5,0.0001864,4.881720824,0.033323571,-4.966554298,0.004374972,1.358845288
18:44.7,0.0001502,4.655210249,0.033445744,-3.680777219,0.004374952,1.358426409
07:11.8,0.0001514,4.643572393,0.033484142,-4.227126362,0.004374949,1.357990076
11:15.8,0.0001505,4.285743245,0.03352603,-2.783625624,0.004374941,1.357321615
13:15.9,0.0002065,4.651309438,0.033602824,-4.66428247,0.00437472,1.356960332
08:15.6,0.0001907,4.536241626,0.033672637,-5.603163143,0.004374919,1.356345976
25:48.9,0.0002103,4.532923755,0.033714525,-4.980700192,0.004374898,1.356017854
05:24.0,0.000211,4.523645584,0.03379481,-4.501328059,0.00437487,1.355595485
06:32.3,0.000188,4.512653501,0.033822736,-5.518181316,0.004374868,1.355433169
08:24.4,0.0001685,4.471690623,0.033859387,-4.926867256,0.004374851,1.355244674
19:13.4,0.0001693,4.437909776,0.03389953,-4.566210674,0.00437483,1.355110283
25:09.1,0.0001895,4.486475307,0.033986797,-3.504586231,0.004374802,1.3546181
47:38.4,0.0005085,2.26777611,0.034053119,-2.202176165,0.004374791,1.354134644
59:43.3,0.0001418,4.239032998,0.03410897,-2.791799001,0.004374792,1.35376987
11:35.9,0.000221,4.746492714,0.034210199,-3.476427089,0.004374729,1.353616281
12:43.2,0.000231,4.855197056,0.034239869,-4.613013423,0.004374713,1.353101409
29:16.1,0.0002147,4.852184617,0.034376005,-1.598869948,0.004374681,1.352059448
03:36.7,0.0002213,4.977176372,0.034512141,-3.885621278,0.004374814,1.352291576
59:35.8,0.0001415,5.462486114,0.034658748,-4.05417645,0.004375109,1.351125696
42:35.9,0.0008429,2.380807123,0.034777431,-2.810948753,0.004375195,1.349156965
40:49.9,0.0005467,1.726682154,0.034805356,-1.620635949,0.004375449,1.348485013
07:48.6,0.0001626,5.278919365,0.034910076,-3.463410424,0.004375253,1.348399492
50:20.3,0.0001588,5.168921734,0.034969417,-3.131515122,0.004375257,1.347732776
43:30.7,0.0001622,5.220002285,0.034999087,-4.507712474,0.00437525,1.347849713
